상품명,적립 포인트,매장명,상품명_mod
 토마토(친환경)/2kg/박스/특/국산,730, 하나로마트, 토마토박스특국산
 상추(친환경/청상추)150g/봉지/특/특품,90, 하나로마트, 상추봉지특특품
 크리미오 식기세척기용 세제 20kg,4500, 크리미오, 크리미오 식기세척기용 세제 
 맑을청 주방세제 2kg,940, 크리미오, 맑을청 주방세제 
 맑은청플러스 식기세척기용 세제 20kg,4500, 크리미오, 맑은청플러스 식기세척기용 세제 
 맑을청 주방세제 15kg,4800, 크리미오, 맑을청 주방세제 
 맑을 (청) 식기세척기용 세제 20kg,8250, 크리미오, 맑을  식기세척기용 세제 
 맑을청 주방세제 3kg,1330, 크리미오, 맑을청 주방세제 
 맑을청 주방세제 10kg,3450, 크리미오, 맑을청 주방세제 
 맑을청 주방세제 20kg,6750, 크리미오, 맑을청 주방세제 
 고스락 유기농 간장 300ml,490, 이마트, 고스락 유기농 간장 
 프레스드 자몽 [900ml],440, 흥국에프엔비, 프레스드 자몽 
 ABC 클렌즈 주스 [900ml],590, 흥국에프엔비,  클렌즈 주스 
 블렌디드 자두 [900ml],490, 흥국에프엔비, 블렌디드 자두 
 프레스드 오렌지 [900ml],440, 흥국에프엔비, 프레스드 오렌지 
 블렌디드 망고 [900ml],490, 흥국에프엔비, 블렌디드 망고 
 블렌디드 딸기 [870ml],490, 흥국에프엔비, 블렌디드 딸기 
 유기농 발아현미스틱 35g,130, 이마트, 유기농 발아현미스틱 
 유기농 고구마 쌀과자 35g,130, 이마트, 유기농 고구마 쌀과자 
 유기농 단호박 쌀과자 35g,130, 이마트, 유기농 단호박 쌀과자 
 라띠아 유기농크리스피롤 블루베리,160, 이마트, 라띠아 유기농크리스피롤 블루베리
 라띠아 유기농크리스피롤 딸기,160, 이마트, 라띠아 유기농크리스피롤 딸기
 그린날애1000mL,660, 빛과둥지, 그린날애
 Prezone 에탄올 워셔액,400, 비손케미칼,  에탄올 워셔액
 식기세척기용 중성세제(NS-1100),5250, 뉴세제코리아, 식기세척기용 중성세제
 Ban-B 종이타올 고급형 (100매/ 2겹),4350, (사)한국지체장애인협회(춘천시장애인근로사업장),  종이타올 고급형 
 Ban-B 미색중질지 70g B4,3450, (사)한국지체장애인협회(춘천시장애인근로사업장),  미색중질지  
 Ban-B 미색중질지 70g A4,2380, (사)한국지체장애인협회(춘천시장애인근로사업장),  미색중질지  
 호반이 친환경 복사용지 75g A4,3220, (사)한국지체장애인협회(춘천시장애인근로사업장), 호반이 친환경 복사용지  
 Ban-B 종이타올 (100매/ 2겹),5250, (사)한국지체장애인협회(춘천시장애인근로사업장),  종이타올 
 Ban-B 점보롤500m,4950, (사)한국지체장애인협회(춘천시장애인근로사업장),  점보롤
 Ban-B 점보롤 300미터,4920, (사)한국지체장애인협회(춘천시장애인근로사업장),  점보롤 미터
 더덕(300g/무농약),500, 두레생협, 더덕
 행복 채소(쌈배추/300g이상),60, 두레생협, 행복 채소
 새송이2kg(무농약),800, 올가홀푸드, 새송이
 야콘(1.5kg/유기),370, 두레생협, 야콘
 백미(1kg/유기),290, 두레생협, 백미
 고시히까리(4kg/무농약/강화),970, 두레생협, 고시히까리
 건무화과(100g/무농약),480, 두레생협, 건무화과
 밀싹(120g/무농약),160, 두레생협, 밀싹
 유기농 포도(2kg/캠밸),1270, 두레생협, 유기농 포도
 한끼 귀리(40g*25포/1kg/유기농),620, 두레생협, 한끼 귀리
 청매실(유기/못난이/5kg),720, 두레생협, 청매실
 감자(1kg/대과/무농약),190, 두레생협, 감자
 가시복분자(1kg/유기),1020, 두레생협, 가시복분자
 신고배(1.8kg/의성/두레인증),2100, 두레생협, 신고배
 맛타리2kg(무농약),600, 올가홀푸드, 맛타리
 진공백미(2kg/유기/강화),660, 두레생협, 진공백미
 (포장저감)가지(40개/무농약),1900, 두레생협, 가지
 깐감자(200g/무농약),140, 두레생협, 깐감자
 행복 채소(치커리/150g),50, 두레생협, 행복 채소
 장아찌용적양파(1.5kg/무농약),150, 두레생협, 장아찌용적양파
 {생명나눔}생표고버섯(2kg/무농약),2090, 두레생협, 생명나눔생표고버섯
 늙은호박(2kg이상/무농약),200, 두레생협, 늙은호박
 {당도보장}신고배(3kg/의성/두레인증),3180, 두레생협, 당도보장신고배
 백미(10kg/유기),1970, 두레생협, 백미
 메론의왕 칸탈로프(무농약/2kg이상),920, 두레생협, 메론의왕 칸탈로프
 행복 채소(팽이버섯/150g),20, 두레생협, 행복 채소
 행복 채소(양상추/300g),80, 두레생협, 행복 채소
 풍기인삼(300g내외/10뿌리),870, 두레생협, 풍기인삼
 (포장저감)미니파프리카(8kg/무농약),6990, 두레생협, 미니파프리카
 행복 채소(콜라비/300g),90, 두레생협, 행복 채소
 쑥1kg(무농약이상),1300, 올가홀푸드, 쑥
 장아찌용햇양파(1kg/무농약),140, 두레생협, 장아찌용햇양파
 유기농 그린키위(4~6입)2팩,370, 이마트, 유기농 그린키위팩
 친환경 칼라방울토마토(600g/팩),260, 이마트, 친환경 칼라방울토마토
 친환경 대추방울토마토(600g/팩),290, 이마트, 친환경 대추방울토마토
 친환경 방울토마토(600g/팩),270, 이마트, 친환경 방울토마토
 친환경 대저토마토(900g/팩),440, 이마트, 친환경 대저토마토
 저탄소인증 성주참외(1.2kg/봉),1190, 이마트, 저탄소인증 성주참외
 친환경 고흥 한라봉세트(7~10입),1640, 이마트, 친환경 고흥 한라봉세트
 친환경 당도선별 한라봉(1kg/팩),490, 이마트, 친환경 당도선별 한라봉
 무농약딸기(750g/팩),440, 이마트, 무농약딸기
 친환경 국산골드키위(소과/1kg),30, 이마트, 친환경 국산골드키위
 친환경 적로메인,60, 이마트, 친환경 적로메인
 친환경 생채,60, 이마트, 친환경 생채
 친환경 로메인,60, 이마트, 친환경 로메인
 친환경 쌈케일,60, 이마트, 친환경 쌈케일
 친환경 적근대,60, 이마트, 친환경 적근대
 유기농 배(2~3입/봉),640, 이마트, 유기농 배
 무농약 황금향(1.2kg/봉),390, 이마트, 무농약 황금향
 저탄소인증 배(3입/봉),1620, 이마트, 저탄소인증 배
 친환경토마토(1kg/팩),390, 이마트, 친환경토마토
 친환경 대추방울토마토 기획(2kg/박스),740, 이마트, 친환경 대추방울토마토 기획
 유기농 브로콜리,100, 이마트, 유기농 브로콜리
 유기농 적채(통),150, 이마트, 유기농 적채
 하루채소 친환경 콩나물,40, 이마트, 하루채소 친환경 콩나물
 (농가돕기)친환경양파1kg,170, 이마트, 친환경양파
 유기농 새송이버섯(2입/봉),90, 이마트, 유기농 새송이버섯
 저탄소인증 사과3입 공팩,1490, 이마트, 저탄소인증 사과입 공팩
 저탄소인증 배3입 공팩,1490, 이마트, 저탄소인증 배입 공팩
 무농약 콩나물(300g/봉),70, 이마트, 무농약 콩나물
 친환경 적겨자,60, 이마트, 친환경 적겨자
 유기농 제스프리 킹골드키위 (2입),140, 이마트, 유기농 제스프리 킹골드키위 
 친환경 제주 그린레몬(3~6입),1040, 이마트, 친환경 제주 그린레몬
 친환경 칼라방울토마토(500g/팩),240, 이마트, 친환경 칼라방울토마토
 친환경 무(개),170, 이마트, 친환경 무
 친환경 양파 800g,240, 이마트, 친환경 양파 
 친환경 실속 양파 2kg,370, 이마트, 친환경 실속 양파 
 친환경 저민마늘(봉),190, 이마트, 친환경 저민마늘
 유기농 부추(봉),170, 이마트, 유기농 부추
 친환경 절단대파 250g,100, 이마트, 친환경 절단대파 
 친환경 남해 통마늘기획(3등급),490, 이마트, 친환경 남해 통마늘기획
 (국산의힘)유기농 고구마 800g(봉),340, 이마트, 유기농 고구마 
 무농약 연근(봉),220, 이마트, 무농약 연근
 친환경 당근(500g/봉),220, 이마트, 친환경 당근
 친환경 감자(1kg/봉),240, 이마트, 친환경 감자
 친환경 가지(2입/봉),170, 이마트, 친환경 가지
 친환경 애호박(개),90, 이마트, 친환경 애호박
 친환경 파프리카(2입/봉),290, 이마트, 친환경 파프리카
 친환경 피망(봉),140, 이마트, 친환경 피망
 친환경 백오이 3입 (봉),190, 이마트, 친환경 백오이 입 
 친환경 얼갈이(봉),190, 이마트, 친환경 얼갈이
 친환경 열무(봉),190, 이마트, 친환경 열무
 친환경 아욱(봉),190, 이마트, 친환경 아욱
 친환경 시금치(봉),190, 이마트, 친환경 시금치
 무농약미나리(봉),240, 이마트, 무농약미나리
 유기농 녹즙신선초(봉),220, 이마트, 유기농 녹즙신선초
 무농약 추부깻잎(봉),60, 이마트, 무농약 추부깻잎
 친환경 청경채 180g/팩,140, 이마트, 친환경 청경채 팩
 친환경 양배추(통),140, 이마트, 친환경 양배추
 친환경 깐마늘(봉),190, 이마트, 친환경 깐마늘
 친환경 시금치,140, 이마트, 친환경 시금치
 몽베스트[1L]*6,210, 한국청정음료, 몽베스트
 빙그레 바나나맛 우유[240ml],70, 빙그레, 빙그레 바나나맛 우유
 달콤한 베지밀 비,50, 정식품, 달콤한 베지밀 비
 친환경 조각무(개),120, 이마트, 친환경 조각무
 엽경채류-근대,10, 로컬푸드 직매장, 엽경채류근대
 엽경채류-갓,10, 로컬푸드 직매장, 엽경채류갓
 엽경채류-쑥갓,10, 로컬푸드 직매장, 엽경채류쑥갓
 엽경채류-깻잎,10, 로컬푸드 직매장, 엽경채류깻잎
 엽경채류-부추,10, 로컬푸드 직매장, 엽경채류부추
 엽경채류-미나리,10, 로컬푸드 직매장, 엽경채류미나리
 엽경채류-시금치,10, 로컬푸드 직매장, 엽경채류시금치
 엽경채류-순무,10, 로컬푸드 직매장, 엽경채류순무
 엽경채류-열무,10, 로컬푸드 직매장, 엽경채류열무
 엽경채류-상추,10, 로컬푸드 직매장, 엽경채류상추
 엽경채류-양배추,10, 로컬푸드 직매장, 엽경채류양배추
 엽경채류-봄동배추,10, 로컬푸드 직매장, 엽경채류봄동배추
 엽경채류-얼갈이배추,10, 로컬푸드 직매장, 엽경채류얼갈이배추
 엽경채류-배추,10, 로컬푸드 직매장, 엽경채류배추
 과채류-기타,10, 로컬푸드 직매장, 과채류기타
 과채류-박,10, 로컬푸드 직매장, 과채류박
 과채류-가지,10, 로컬푸드 직매장, 과채류가지
 과채류-호박,10, 로컬푸드 직매장, 과채류호박
 양채류-루꼴라,10, 로컬푸드 직매장, 양채류루꼴라
 유기농 팝짱 단호박,140, 이마트, 유기농 팝짱 단호박
 유기농 딸기 쌀떡뻥 25g,90, 이마트, 유기농 딸기 쌀떡뻥 
 유기인증 조미재래김 16입,290, 이마트, 유기인증 조미재래김 입
 유기인증 조미돌구이김 16입,290, 이마트, 유기인증 조미돌구이김 입
 Dole 유기농 바나나(봉),190, 이마트,  유기농 바나나
 유기농 느린수정과(냉장/1000ml),280, 서정쿠킹, 유기농 느린수정과
 유기농 느린식혜(냉장/1000ml),280, 서정쿠킹, 유기농 느린식혜
 유기농]백미10kg(안성),2630, 올가홀푸드, 유기농백미
 안성 백미(무농약/10kg),2490, 올가홀푸드, 안성 백미
 친환경 유기농 쌀 4kg,1120, 고삼농협(판매), 친환경 유기농 쌀 
 안성]백미7kg(무농약),1490, 올가홀푸드, 안성백미
 친환경 무농약쌀 4kg,1100, 고삼농협(판매), 친환경 무농약쌀 
 뚜또 유기농 블루베리 푸딩 160g,80, 이마트, 뚜또 유기농 블루베리 푸딩 
 머위대(300g/유기),170, 두레생협, 머위대
 오렌지(유기농/황금향)/3kg/박스/특,1490, 하나로마트, 오렌지박스특
 사과(저탄소)/10kg/박스/40내,7600, 하나로마트, 사과박스내
 포도(친환경/머루포도)/1.5kg/박스,540, 하나로마트, 포도박스
 포도(무농약/켐벨)/4kg/박스,1040, 하나로마트, 포도박스
 배(저탄소/15kg/박스/20내),15000, 하나로마트, 배
 아로니아(무농약)/1kg/팩,270, 하나로마트, 아로니아팩
 배(무농약)7.5kg/12내/박스,3250, 하나로마트, 배내박스
 배(친환경)7.5kg/10내/박스,3310, 하나로마트, 배내박스
 감귤(저탄소)/3kg/박스/선물세트/특(35~40내),4870, 하나로마트, 감귤박스선물세트특
 감귤(저탄소)/800g/팩,1110, 하나로마트, 감귤팩
 황금향(저탄소)/5kg/박스/선물세트/특(15~22내),10, 하나로마트, 황금향박스선물세트특
 포도(유기농/켐벨)/1kg/박스/특,640, 하나로마트, 포도박스특
 딱딱이복숭아(저탄소/1.8kg/8내/국산),1870, 하나로마트, 딱딱이복숭아
 딱딱한복숭아(저탄소/1.8kg/5~8내/국산),2530, 하나로마트, 딱딱한복숭아
 황금향(저탄소)1.8kg/15내/박스/국내산,1750, 하나로마트, 황금향내박스국내산
 자두(저탄소/1.5kg/박스),1730, 하나로마트, 자두
 배(저탄소)/15kg/18과/특,16570, 하나로마트, 배과특
 노랑대추방울토마토(친환경)/500g/팩/특,110, 하나로마트, 노랑대추방울토마토팩특
 토마토(대저토마토/뜨라네/무농약)/4kg/박스,780, 하나로마트, 토마토박스
 방울토마토(무농약)/10kg/박스/특,4030, 하나로마트, 방울토마토박스특
 대추방울토마토(무농약)/10kg/박스/특,2990, 하나로마트, 대추방울토마토박스특
 토마토(친환경/짭짤이)/2kg/박스/특,1260, 하나로마트, 토마토박스특
 방울토마토(친환경)/5kg/박스/특(상품화),1620, 하나로마트, 방울토마토박스특
 이탈리안샐러드(친환경)60g/팩/특/특품,60, 하나로마트, 이탈리안샐러드팩특특품
 대상/친환경/딸기(소분),60, 하나로마트, 대상친환경딸기
 비가림감귤(무농약)/1.5kg/팩(박스),390, 하나로마트, 비가림감귤팩
 비가림감귤(무농약)/2kg/박스,870, 하나로마트, 비가림감귤박스
 사과(저탄소/투명창)5kg/13내/박스/실속(상)/국산,5070, 하나로마트, 사과내박스실속국산
 오렌지(무농약/한라봉)/5kg/15내/박스/특,1300, 하나로마트, 오렌지내박스특
 참외(친환경)/1.2kg/10내/봉지/특,600, 하나로마트, 참외내봉지특
 파파야플러스 주방세제 300mL 리필,700, 진케미칼, 파파야플러스 주방세제  리필
 살리미 EM발효농축 주방세제(750ml),1500, 에버미라클, 살리미 발효농축 주방세제
 EM 활성액,4120, 에버미라클,  활성액
 유기농까까 뽀로로 떡뻥 자색고구마,70, 이마트, 유기농까까 뽀로로 떡뻥 자색고구마
 유기농까까 뽀로로 떡뻥 단호박,70, 이마트, 유기농까까 뽀로로 떡뻥 단호박
 유기농까까 뽀로로 떡뻥 백미 10g,70, 이마트, 유기농까까 뽀로로 떡뻥 백미 
 유기농 해와달과 별 30g,90, 올가홀푸드, 유기농 해와달과 별 
 조각브로컬리(친환경/300g),320, 올가홀푸드, 조각브로컬리
 무농약 상주곶감 세트,4990, 이마트, 무농약 상주곶감 세트
 곰취나물(1kg/유기/절임용),720, 두레생협, 곰취나물
 검정찰보리(800g/유기),270, 두레생협, 검정찰보리
 땅두릅(200g/무농약),240, 두레생협, 땅두릅
 달래(80g/무농약),170, 두레생협, 달래
 무농약 참외(10kg),12000, 두레생협, 무농약 참외
 무농약 생유자(2kg),980, 두레생협, 무농약 생유자
 [친환경]팔도특산 19곡영양밥(유기농/2kg),870, 올가홀푸드, 팔도특산 곡영양밥
 [산지]백미찹쌀(무농약/2kg),590, 올가홀푸드, 백미찹쌀
 [산지]현미찹살(무농약/4kg),1040, 올가홀푸드, 현미찹살
 [산지]백미찹쌀(무농약/4kg),1070, 올가홀푸드, 백미찹쌀
 [산지]현미(무농약/2kg),470, 올가홀푸드, 현미
 [산지]현미(무농약/4kg),870, 올가홀푸드, 현미
 [산지]안성 백미(무농약/10kg),2390, 올가홀푸드, 안성 백미
 [산지]백미(무농약/10kg),1970, 올가홀푸드, 백미
 [산지]백미(무농약/4kg),890, 올가홀푸드, 백미
 [친환경]흑미(유기농/500g),390, 올가홀푸드, 흑미
 [산지]대저토마토 3kg,1900, 올가홀푸드, 대저토마토 
 부지갱이나물(200g/무농약),150, 두레생협, 부지갱이나물
 양배추(500g/무농약),140, 두레생협, 양배추
 유기농설탕1kg(가공용),100, 올가홀푸드, 유기농설탕
 특판-딸기(무농약/5kg),220, 올가홀푸드, 특판딸기
 Ban-B 70미터,1200, (사)한국지체장애인협회(춘천시장애인근로사업장),  미터
 Ban-B 50m,3510, (사)한국지체장애인협회(춘천시장애인근로사업장),  
 Ban-B 중질지 70g B4,3450, (사)한국지체장애인협회(춘천시장애인근로사업장),  중질지  
 Ban-B 중질지 70g A4,2380, (사)한국지체장애인협회(춘천시장애인근로사업장),  중질지  
 Ban-B 중질지 60g B4,3220, (사)한국지체장애인협회(춘천시장애인근로사업장),  중질지  
 Ban-B 중질지 60g A4,2190, (사)한국지체장애인협회(춘천시장애인근로사업장),  중질지  
 Ban-B 신문용지 54g B4,2530, (사)한국지체장애인협회(춘천시장애인근로사업장),  신문용지  
 Ban-B 신문용지 54g A4,1650, (사)한국지체장애인협회(춘천시장애인근로사업장),  신문용지  
 Ban-B 친환경 복사용지 75g B4,4370, (사)한국지체장애인협회(춘천시장애인근로사업장),  친환경 복사용지  
 Ban-B 친환경 복사용지 75g A4,2760, (사)한국지체장애인협회(춘천시장애인근로사업장),  친환경 복사용지  
 EM 세탁비누 300g,190, 소화아람일터,  세탁비누 
 콘타모 모사사우루스 L,1180, 메리스랩, 콘타모 모사사우루스 
 콘타모 스피노사우루스 L,1180, 메리스랩, 콘타모 스피노사우루스 
 콘타모 프테라노돈 L,1180, 메리스랩, 콘타모 프테라노돈 
 콘타모 브라키오사우루스 L,1180, 메리스랩, 콘타모 브라키오사우루스 
 콘타모 트리케라톱스 L,1180, 메리스랩, 콘타모 트리케라톱스 
 콘타모 안킬로사우루스 L,1180, 메리스랩, 콘타모 안킬로사우루스 
 콘타모 스테고사우루스 L,1180, 메리스랩, 콘타모 스테고사우루스 
 콘타모 티라노사우루스 L,1180, 메리스랩, 콘타모 티라노사우루스 
 콘타모SE 곰,2910, 메리스랩, 콘타모 곰
 초고농축원액세제(NS-1000),2250, 뉴세제코리아, 초고농축원액세제
 식기세척기용세제(NS-1200),4500, 뉴세제코리아, 식기세척기용세제
 무농약이상_브로콜리,160, 초록마을, 무농약이상브로콜리
 무농약 한입딸기(중 900g/팩),340, 이마트, 무농약 한입딸기
 순샘 구연산x자몽향 1kg 용기,930, 애경산업, 순샘 구연산자몽향  용기
 순샘 베이킹소다x피톤치드향 1kg 용기,1120, 애경산업, 순샘 베이킹소다피톤치드향  용기
 순샘 구연산자몽 4.8L 용기,1640, 애경산업, 순샘 구연산자몽  용기
 순샘 구연산 자몽 1.6L 리필,1170, 애경산업, 순샘 구연산 자몽  리필
 순샘 베이킹소다x피톤치드 1.6L 리필,1170, 애경산업, 순샘 베이킹소다피톤치드  리필
 (포장저감)근대(4kg/무농약),1450, 두레생협, 근대
 발아흑미(800g/유기),490, 두레생협, 발아흑미
 햇귀리(1kg/유기),460, 두레생협, 햇귀리
 양배추(1.5kg/무농약),210, 두레생협, 양배추
 청양건고추(100g/유기),350, 두레생협, 청양건고추
 흙냉이(150g/유기),190, 두레생협, 흙냉이
 청차조(300g/유기),440, 두레생협, 청차조
 유기농당근1kg(특판용),80, 올가홀푸드, 유기농당근
 유기농백다다기오이1kg(특판용),300, 올가홀푸드, 유기농백다다기오이
 유기농양파1kg(특판용),90, 올가홀푸드, 유기농양파
 햇밤(1kg/유기),540, 두레생협, 햇밤
 밤고구마(5kg/무농약),1500, 두레생협, 밤고구마
 사과대추(500g/유기),540, 두레생협, 사과대추
 (포장저감)양파(10kg/무농약),1400, 두레생협, 양파
 가지(5입/무농약),210, 두레생협, 가지
 [라이브방송]유기농 표고친환경 세트 4호,4450, 올가홀푸드, 유기농 표고친환경 세트 호
 코주부 화장지 70m,9750, 부림제지, 코주부 화장지 
 원삼유기농쌀10kg,2870, 이마트, 원삼유기농쌀
 원삼유기농쌀4/국산,1300, 이마트, 원삼유기농쌀국산
 무농약무순40g,60, 초록마을, 무농약무순
 우리아이입안애유기농어린잎(어린이용)80g,130, 초록마을, 우리아이입안애유기농어린잎
 유기농어린잎(청장년층)80g,130, 초록마을, 유기농어린잎
 무농약바질10g,140, 초록마을, 무농약바질
 유기농와일드루꼴라50g,150, 초록마을, 유기농와일드루꼴라
 친환경아삭샐러드250g,190, 초록마을, 친환경아삭샐러드
 친환경컬러샐러드300g,230, 초록마을, 친환경컬러샐러드
 무농약황금꽃송이버섯90g,400, 초록마을, 무농약황금꽃송이버섯
 [친환경]콩국수용 서리태(무농약/800g),490, 올가홀푸드, 콩국수용 서리태
 친환경]무농약 서리태(무농약/1.5kg),1190, 올가홀푸드, 친환경무농약 서리태
 [친환경]유기농 적두(유기농/800g),890, 올가홀푸드, 유기농 적두
 [친환경]현미찹쌀(유기농/1.8kg)*2봉,940, 올가홀푸드, 현미찹쌀봉
 [친환경]친환경 적두(친환경/800g),740, 올가홀푸드, 친환경 적두
 유기농 햇밤(700g/팩),390, 이마트, 유기농 햇밤
 무농약 캠벨포도(1.2Kg/팩),590, 이마트, 무농약 캠벨포도
 무농약 제주 청귤(800g/팩),240, 이마트, 무농약 제주 청귤
